Country,Total cases,Total deaths,Total recovered,New cases,New deaths,Active cases,Critical cases,Total cases per 1M pop.,Gross Total cases,Gross Total deaths
USA,142735,2489,4562,275,5,135684,2970,431,143010,2494
Italy,97689,10779,13030,0,0,73880,3906,1616,97689,10779
China,81470,3304,75700,31,4,2466,633,57,81501,3308
Spain,80110,6803,14709,0,0,58598,4165,1713,80110,6803
Germany,62435,541,9211,0,0,52683,1979,745,62435,541
France,40174,2606,7202,0,0,30366,4632,615,40174,2606
Iran,38309,2640,12391,0,0,23278,3206,456,38309,2640
UK,19522,1228,135,0,0,18159,163,288,19522,1228
Switzerland,14829,300,1595,0,0,12934,301,1713,14829,300
Netherlands,10866,771,250,0,0,9845,972,634,10866,771
Belgium,10836,431,1359,0,0,9046,867,935,10836,431
S. Korea,9661,158,5228,78,6,4275,59,188,9739,164
Turkey,9217,131,105,0,0,8981,568,109,9217,131
Austria,8867,86,479,79,0,8302,187,985,8946,86
Canada,6320,65,573,0,0,5682,120,167,6320,65
Portugal,5962,119,43,0,0,5800,89,585,5962,119
Israel,4347,15,132,100,0,4200,80,502,4447,15
Norway,4305,26,7,21,0,4272,91,794,4326,26
Brazil,4256,136,6,0,0,4114,296,20,4256,136
Australia,4163,18,244,0,1,3901,28,163,4163,19
Sweden,3700,110,16,0,0,3574,281,366,3700,110
Czechia,2817,16,11,0,0,2790,45,263,2817,16
Ireland,2615,46,5,0,0,2564,59,530,2615,46
Malaysia,2470,35,388,0,0,2047,73,76,2470,35
Denmark,2395,72,1,0,0,2322,113,413,2395,72
Chile,2139,7,75,0,0,2057,7,112,2139,7
Luxembourg,1950,21,40,0,0,1889,25,3115,1950,21
Ecuador,1924,58,3,0,0,1863,58,109,1924,58
Poland,1905,26,7,43,4,1872,3,50,1948,30
Japan,1866,54,424,0,0,1388,56,15,1866,54
Romania,1815,43,206,0,0,1566,31,94,1815,43
Pakistan,1625,18,29,28,4,1578,11,7,1653,22
Russia,1534,8,64,0,0,1462,8,11,1534,8
Thailand,1524,7,229,136,0,1288,11,22,1660,7
Philippines,1418,71,42,0,0,1305,1,13,1418,71
Saudi Arabia,1299,8,66,0,0,1225,12,37,1299,8
Indonesia,1285,114,64,0,0,1107,0,5,1285,114
South Africa,1280,2,31,0,0,1247,7,22,1280,2
Finland,1240,11,10,0,0,1219,32,224,1240,11
Greece,1156,39,52,0,0,1065,66,111,1156,39
India,1071,29,100,47,2,942,0,1,1118,31
Iceland,1020,2,135,0,0,883,25,2989,1020,2
Mexico,993,20,35,145,4,938,1,8,1138,24
Panama,989,24,4,0,0,961,36,229,989,24
Dominican Republic,859,39,3,0,0,817,0,79,859,39
Peru,852,18,16,0,0,818,40,26,852,18
Singapore,844,3,212,0,0,629,19,144,844,3
Argentina,820,20,91,0,0,709,0,18,820,20
Serbia,741,13,42,0,0,686,25,85,741,13
Slovenia,730,11,10,0,0,709,23,351,730,11
Croatia,713,6,55,0,0,652,26,174,713,6
Colombia,702,10,10,0,0,682,29,14,702,10
Estonia,679,3,20,0,0,656,10,512,679,3
Hong Kong,642,4,118,0,0,520,5,86,642,4
Qatar,634,1,48,0,0,585,6,220,634,1
Egypt,609,40,132,0,0,437,0,6,609,40
New Zealand,589,1,63,75,0,525,2,122,664,1
UAE,570,3,58,0,0,509,2,58,570,3
Iraq,547,42,143,0,0,362,0,14,547,42
Algeria,511,31,31,0,0,449,0,12,511,31
Bahrain,500,4,272,1,0,224,1,294,501,4
Lithuania,484,7,1,24,0,476,2,178,508,7
Morocco,479,26,13,0,0,440,1,13,479,26
Ukraine,475,10,6,0,0,459,0,11,475,10
Hungary,447,15,34,39,2,398,6,46,486,17
Lebanon,438,10,30,0,0,398,4,64,438,10
Armenia,424,3,30,0,0,391,6,143,424,3
Bulgaria,354,8,15,8,0,331,13,51,362,8
Latvia,347,0,1,0,0,346,3,184,347,0
Bosnia and Herzegovina,340,6,8,17,0,326,1,104,357,6
Andorra,334,6,6,0,0,322,10,4323,334,6
Costa Rica,314,2,3,0,0,309,6,62,314,2
Slovakia,314,0,2,0,0,312,1,58,314,0
Tunisia,312,8,2,0,0,302,10,26,312,8
Uruguay,304,1,0,0,0,303,9,88,304,1
Taiwan,298,3,39,0,0,256,0,13,298,3
Kazakhstan,293,1,20,9,0,272,0,16,302,1
Moldova,263,2,13,0,0,248,33,65,263,2
Jordan,259,3,18,0,0,238,3,25,259,3
North Macedonia,259,6,3,0,0,250,1,124,259,6
Kuwait,255,0,67,0,0,188,12,60,255,0
San Marino,224,22,6,0,0,196,16,6602,224,22
Burkina Faso,222,12,23,0,0,187,0,11,222,12
Cyprus,214,6,15,0,0,193,3,177,214,6
Albania,212,10,33,0,0,169,3,74,212,10
Azerbaijan,209,4,15,0,0,190,23,21,209,4
Vietnam,194,0,52,0,0,142,3,2,194,0
Réunion,183,0,1,0,0,182,0,204,183,0
Oman,167,0,23,0,0,144,3,33,167,0
Ivory Coast,165,1,4,0,0,160,0,6,165,1
Faeroe Islands,159,0,70,0,0,89,1,3254,159,0
Ghana,152,5,2,0,0,145,1,5,152,5
Malta,151,0,2,0,0,149,4,342,151,0
Uzbekistan,144,2,7,0,0,135,8,4,144,2
Senegal,142,0,27,0,0,115,0,8,142,0
United Arab Emirates,140,2,31,0,0,0,0,0,140,2
Cameroon,139,6,5,0,0,128,0,5,139,6
Cuba,139,3,4,0,0,132,2,12,139,3
Honduras,139,3,3,29,0,133,4,14,168,3
Brunei,126,1,34,0,0,91,1,288,126,1
Sri Lanka,120,1,11,3,0,108,5,6,123,1
Afghanistan,120,4,2,0,0,114,0,3,120,4
Venezuela,119,3,39,0,0,77,6,4,119,3
Nigeria,111,1,3,0,0,107,0,0,111,1
Mauritius,110,3,0,3,0,107,1,86,113,3
Palestine,109,1,18,0,0,90,0,21,109,1
Channel Islands,108,2,0,0,0,106,0,621,108,2
Guadeloupe,106,4,17,0,0,85,10,265,106,4
Cambodia,103,0,21,0,0,82,1,6,103,0
Georgia,97,0,18,6,0,79,1,24,103,0
Bolivia,96,1,0,15,0,95,3,8,111,1
Belarus,94,0,32,0,0,62,2,10,94,0
Martinique,93,1,0,0,0,92,12,248,93,1
Montenegro,91,1,0,6,0,90,1,145,97,1
Kyrgyzstan,84,0,0,0,0,84,0,13,84,0
DRC,81,8,2,0,0,71,0,1,81,8
Trinidad and Tobago,78,3,1,0,0,74,0,56,78,3
Rwanda,70,0,0,0,0,70,0,5,70,0
Gibraltar,65,0,14,0,0,51,0,1929,65,0
Paraguay,64,3,1,5,0,60,3,9,69,3
Mayotte,63,0,0,0,0,63,0,231,63,0
Liechtenstein,56,0,0,0,0,56,0,1469,56,0
Aruba,50,0,1,0,0,49,0,468,50,0
Bangladesh,49,5,19,1,0,25,1,0,50,5
Monaco,46,1,1,0,0,44,0,1172,46,1
French Guiana,43,0,6,0,0,37,0,144,43,0
Kenya,42,1,1,0,0,40,2,1,42,1
Isle of Man,42,0,0,0,0,42,0,494,42,0
Puerto Rico,39,2,1,8,0,36,0,14,47,2
Madagascar,39,0,0,0,0,39,0,1,39,0
Macao,37,0,10,0,0,27,0,57,37,0
Guatemala,34,1,10,0,0,23,1,2,34,1
Uganda,33,0,0,0,0,33,0,1,33,0
Barbados,33,0,0,0,0,33,0,115,33,0
Jamaica,32,1,2,0,0,29,0,11,32,1
Guam,32,1,0,3,0,31,0,190,35,1
Togo,30,1,1,5,0,28,0,4,35,1
French Polynesia,30,0,0,0,0,30,0,107,30,0
El Salvador,30,0,0,6,0,30,0,5,36,0
Zambia,29,0,0,0,0,29,0,2,29,0
Bermuda,22,0,2,0,0,20,0,353,22,0
Ethiopia,21,0,1,0,0,20,0,0,21,0
Niger,18,1,0,0,0,17,0,1,18,1
Djibouti,18,0,0,0,0,18,0,18,18,0
Mali,18,1,0,0,0,17,0,1,18,1
Maldives,17,0,13,0,0,4,0,31,17,0
